label,pc1,pc2,Net
pool,-0.7657244552625653,0.2410016947056896,"[5, 7, 4, 1, 7, 6, 4, 0, 2, 4, 2, 0, 6, 0, 6, 4, 2, 4, 4, 7, 4, 5, 5, 4, 0, 2, 1, 4]"
pool,4.606353677546411,-1.2605951345765576,"[5, 4, 6, 5, 3, 3, 3, 5, 5, 7, 0, 7, 6, 6, 3, 6, 4, 6, 0, 5, 4, 3, 5, 1, 2, 1, 2, 1]"
pool,-1.7021326023105945,1.5832532526481162,"[1, 0, 1, 0, 5, 6, 2, 7, 4, 1, 0, 1, 0, 7, 0, 5, 7, 1, 4, 7, 1, 0, 1, 3, 4, 4, 4, 2]"
pool,-0.6455324402431102,1.500004696171705,"[0, 5, 5, 1, 4, 2, 0, 0, 2, 5, 7, 1, 2, 1, 3, 6, 7, 4, 0, 1, 4, 0, 7, 4, 4, 1, 1, 1]"
pool,3.066252377472995,0.03159387384880099,"[7, 7, 7, 1, 2, 2, 3, 1, 2, 6, 2, 7, 0, 0, 5, 4, 6, 4, 0, 6, 5, 0, 1, 3, 4, 6, 2, 3]"
pool,-0.23603746561826108,0.29121314944509225,"[4, 5, 0, 4, 3, 4, 6, 0, 4, 4, 4, 1, 4, 7, 6, 5, 2, 1, 0, 7, 3, 5, 1, 3, 4, 3, 4, 4]"
pool,1.346260074143544,-1.311900471912095,"[4, 4, 7, 4, 2, 3, 4, 7, 3, 4, 7, 4, 3, 2, 4, 1, 5, 1, 5, 4, 2, 6, 6, 1, 4, 2, 7, 2]"
pool,0.3489926701482026,1.8700822674717736,"[4, 4, 1, 5, 2, 0, 0, 1, 5, 0, 1, 0, 4, 5, 1, 0, 5, 6, 6, 6, 6, 4, 1, 4, 0, 5, 6, 0]"
pool,-5.557553707316324,0.23869511069477642,"[0, 7, 4, 0, 7, 4, 1, 7, 0, 0, 7, 0, 5, 7, 0, 2, 0, 4, 4, 7, 0, 0, 6, 4, 0, 1, 4, 5]"
pool,-0.6144528587356387,3.167972533575803,"[2, 2, 0, 1, 4, 0, 4, 5, 7, 7, 2, 1, 0, 7, 0, 4, 7, 0, 1, 1, 1, 7, 1, 0, 4, 1, 0, 0]"
pool,3.863830514929036,-0.25167192893503415,"[3, 3, 6, 5, 6, 1, 6, 3, 3, 1, 7, 6, 3, 4, 5, 1, 2, 2, 5, 4, 1, 5, 0, 1, 5, 3, 3, 6]"
pool,-0.09593277079185186,2.973561961430345,"[0, 4, 0, 0, 2, 3, 5, 0, 0, 0, 7, 5, 4, 0, 6, 4, 2, 1, 1, 4, 6, 1, 4, 0, 2, 5, 0, 2]"
pool,0.7333877426949357,2.485476664488488,"[5, 0, 1, 2, 7, 3, 0, 5, 0, 0, 0, 0, 5, 5, 4, 4, 2, 2, 1, 2, 5, 1, 1, 7, 2, 7, 1, 2]"
pool,2.937080478649159,0.9500315803737226,"[5, 0, 2, 0, 3, 6, 2, 1, 3, 1, 5, 0, 5, 3, 0, 0, 3, 5, 2, 6, 1, 7, 6, 1, 6, 5, 5, 7]"
pool,-4.124244773668251,2.2922190962401303,"[4, 0, 2, 0, 7, 0, 6, 7, 0, 4, 7, 4, 4, 2, 0, 0, 7, 0, 4, 7, 0, 4, 0, 0, 2, 0, 0, 5]"
pool,-2.3950250433674776,1.6787565169499077,"[6, 7, 0, 0, 7, 0, 6, 7, 6, 4, 4, 0, 1, 3, 1, 0, 0, 0, 3, 0, 0, 5, 7, 5, 1, 6, 0, 4]"
pool,3.8408199820282163,-2.509749134911145,"[7, 7, 0, 6, 6, 2, 2, 3, 4, 3, 6, 7, 4, 4, 5, 3, 4, 0, 3, 5, 3, 2, 6, 7, 3, 4, 7, 6]"
pool,4.483101895272614,-2.2277362696839544,"[5, 6, 1, 2, 5, 3, 3, 2, 6, 5, 1, 7, 6, 6, 5, 5, 0, 4, 7, 3, 6, 1, 7, 7, 1, 3, 5, 6]"
pool,1.4195359245188806,-0.18391858832671096,"[0, 6, 2, 4, 5, 1, 5, 7, 0, 7, 4, 6, 0, 6, 5, 5, 4, 0, 4, 3, 7, 1, 0, 7, 2, 0, 4, 2]"
pool,1.7586495361170733,1.7814026939113523,"[2, 0, 2, 0, 0, 2, 0, 2, 0, 2, 4, 7, 0, 3, 3, 0, 4, 6, 4, 6, 4, 3, 7, 1, 2, 5, 3, 2]"
pool,3.1484258514841894,0.1128026420412044,"[6, 5, 4, 2, 7, 1, 5, 0, 1, 6, 5, 6, 6, 1, 0, 2, 1, 4, 6, 0, 5, 6, 4, 7, 3, 6, 0, 5]"
pool,-4.311366196710637,1.303998199319567,"[0, 4, 4, 0, 7, 4, 5, 7, 0, 4, 4, 0, 2, 4, 5, 4, 1, 0, 4, 5, 0, 0, 6, 4, 0, 7, 0, 0]"
pool,-0.17037777073878477,-0.18486546589143074,"[7, 3, 4, 4, 4, 0, 0, 5, 4, 0, 2, 4, 6, 7, 5, 6, 4, 5, 1, 4, 4, 7, 7, 3, 0, 3, 4, 1]"
pool,2.3069804935778904,2.022586964353563,"[3, 3, 3, 6, 2, 1, 1, 1, 2, 2, 4, 3, 5, 2, 3, 4, 5, 0, 0, 4, 4, 5, 4, 1, 2, 5, 4, 0]"
pool,-5.990903026295951,1.9521834226074108,"[0, 7, 0, 5, 7, 0, 1, 7, 0, 4, 2, 4, 0, 7, 0, 0, 1, 0, 0, 4, 1, 1, 7, 0, 0, 7, 1, 4]"
pool,2.8387912447024846,-0.804595293343197,"[0, 2, 7, 1, 7, 7, 2, 6, 3, 0, 0, 3, 7, 3, 5, 5, 7, 1, 4, 0, 0, 5, 3, 3, 5, 0, 5, 7]"
