Net,params,valid_psnr
"[6, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 3, 4, 0, 7, 2, 4, 7, 6, 5, 7, 5, 5]",11328,33.79618835
"[7, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 3, 4, 0, 7, 2, 4, 7, 3, 1, 7, 6, 5]",17120,34.2246418
"[7, 6, 4, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 6, 7, 4, 2, 4, 1, 7, 2, 4, 7, 4, 1, 7, 5, 5]",230368,34.36423874
"[7, 7, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 2, 3, 1, 7, 2, 7, 7, 1, 7, 7, 7, 6]",414496,34.90322113
"[7, 7, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 3, 3, 1, 7, 2, 7, 7, 1, 7, 7, 7, 6]",414496,34.40028
"[7, 6, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 3, 3, 1, 7, 2, 7, 7, 1, 7, 7, 7, 6]",422816,34.33481216
"[7, 6, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 3, 3, 1, 6, 2, 7, 7, 1, 7, 7, 7, 6]",832672,34.43261719
"[7, 7, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 3, 3, 1, 6, 2, 7, 7, 1, 7, 7, 7, 6]",824352,35.23862076
"[7, 6, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 2, 3, 1, 6, 2, 7, 7, 1, 7, 7, 7, 6]",832672,33.74748993
"[7, 7, 0, 4, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 3, 3, 1, 6, 2, 7, 7, 1, 7, 7, 7, 6]",824352,35.18936157
"[7, 6, 0, 5, 7, 0, 1, 7, 6, 6, 7, 4, 0, 0, 0, 4, 2, 3, 1, 6, 2, 7, 7, 0, 7, 7, 7, 6]",832672,35.34739304
"[6, 6, 0, 5, 3, 0, 0, 7, 4, 0, 6, 5, 0, 6, 0, 3, 2, 0, 3, 3, 0, 4, 1, 0, 0, 0, 4, 0]",60336,34.49692917
"[4, 7, 0, 5, 3, 0, 0, 7, 4, 0, 6, 5, 0, 6, 0, 3, 2, 0, 3, 3, 0, 4, 1, 0, 0, 0, 4, 0]",7856,34.14291
"[4, 7, 0, 5, 3, 0, 0, 7, 4, 0, 6, 4, 0, 6, 0, 3, 2, 0, 3, 3, 0, 4, 1, 0, 0, 0, 4, 0]",5808,34.1018219
"[4, 6, 0, 5, 3, 0, 0, 7, 4, 0, 6, 4, 0, 7, 0, 3, 2, 0, 3, 3, 0, 4, 1, 0, 0, 0, 4, 0]",5264,34.04541016
"[4, 7, 0, 5, 3, 0, 0, 6, 4, 0, 6, 4, 0, 7, 0, 2, 2, 0, 4, 3, 0, 4, 1, 0, 0, 0, 4, 0]",4176,34.08885193
"[4, 7, 1, 4, 3, 0, 0, 7, 4, 0, 6, 4, 0, 7, 0, 3, 2, 0, 4, 3, 0, 4, 2, 0, 0, 0, 4, 0]",3904,33.62579727
"[4, 7, 1, 5, 3, 0, 0, 7, 4, 6, 7, 3, 2, 7, 0, 4, 7, 0, 2, 7, 0, 1, 7, 0, 0, 7, 4, 0]",2544,33.0311203
"[4, 7, 0, 5, 3, 0, 0, 6, 4, 0, 6, 4, 0, 7, 0, 3, 2, 0, 4, 3, 0, 4, 1, 0, 0, 0, 4, 0]",4176,33.47609329
"[4, 7, 1, 5, 3, 0, 0, 7, 4, 6, 7, 3, 0, 7, 0, 2, 2, 0, 4, 3, 0, 4, 1, 0, 0, 0, 4, 0]",3632,33.82423401
"[4, 7, 0, 5, 3, 0, 0, 7, 3, 0, 7, 3, 2, 7, 0, 4, 7, 0, 2, 7, 0, 1, 7, 0, 0, 7, 4, 0]",2544,33.53735352
"[4, 7, 0, 5, 3, 0, 0, 7, 0, 0, 7, 3, 5, 7, 0, 4, 7, 0, 2, 7, 0, 2, 7, 0, 0, 7, 4, 0]",2544,32.79756546
"[3, 6, 5, 7, 1, 0, 4, 6, 0, 7, 6, 7, 0, 7, 5, 5, 7, 6, 5, 7, 1, 4, 7, 4, 6, 7, 6, 6]",378080,35.42250824
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 6, 7, 0, 7, 5, 5, 7, 6, 5, 7, 1, 4, 7, 4, 6, 7, 6, 6]",304224,35.34842682
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 6, 7, 0, 7, 5, 5, 7, 6, 5, 7, 1, 4, 7, 4, 7, 7, 6, 6]",304224,35.42772293
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 7, 7, 0, 7, 5, 5, 7, 6, 5, 7, 1, 4, 7, 4, 7, 7, 6, 6]",103456,35.15309906
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 6, 7, 0, 7, 5, 5, 7, 6, 5, 7, 1, 4, 7, 4, 7, 7, 7, 6]",304224,35.55259323
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 6, 7, 0, 7, 5, 5, 7, 7, 5, 7, 2, 4, 7, 4, 7, 7, 6, 6]",304224,34.82700729
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 7, 7, 0, 7, 5, 5, 7, 5, 5, 7, 2, 4, 7, 4, 7, 7, 6, 6]",103456,34.52515411
"[3, 6, 5, 5, 1, 0, 4, 6, 0, 7, 7, 7, 0, 7, 5, 5, 7, 7, 5, 7, 2, 4, 7, 4, 7, 7, 6, 6]",103456,35.35987091
"[4, 7, 3, 7, 7, 3, 4, 7, 4, 6, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.7141571
"[7, 6, 3, 7, 0, 6, 7, 6, 7, 3, 6, 3, 7, 7, 4, 0, 6, 7, 1, 5, 3, 7, 5, 2, 3, 5, 3, 0]",6176416,33.49149323
"[4, 7, 2, 7, 7, 7, 4, 7, 7, 5, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.52957916
"[4, 7, 2, 7, 7, 3, 4, 7, 4, 5, 7, 4, 5, 7, 4, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.67762375
"[4, 7, 2, 7, 7, 0, 4, 7, 6, 5, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.992836
"[4, 7, 2, 7, 7, 3, 4, 7, 7, 5, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,32.84039688
"[4, 7, 2, 4, 7, 0, 4, 7, 4, 1, 7, 6, 5, 7, 6, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.51369476
"[4, 7, 3, 7, 7, 0, 4, 7, 4, 6, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.54027939
"[4, 7, 3, 7, 7, 7, 4, 7, 7, 5, 7, 1, 5, 7, 7, 1, 7, 7, 0, 7, 3, 4, 7, 1, 1, 7, 1, 0]",2272,33.72185898
"[4, 7, 6, 4, 7, 4, 6, 7, 3, 7, 7, 0, 0, 7, 2, 7, 7, 5, 4, 7, 7, 0, 7, 3, 4, 7, 0, 7]",2272,33.52987289
"[5, 6, 7, 3, 7, 0, 2, 7, 6, 7, 7, 0, 0, 7, 2, 7, 7, 1, 3, 7, 7, 0, 7, 3, 6, 6, 0, 7]",209504,35.27482605
"[4, 6, 7, 3, 5, 7, 3, 6, 3, 7, 7, 0, 3, 7, 2, 7, 6, 3, 0, 7, 3, 0, 5, 3, 2, 5, 3, 7]",415040,33.85264206
"[5, 6, 7, 3, 7, 0, 2, 7, 5, 7, 7, 0, 3, 7, 2, 7, 7, 2, 2, 7, 0, 0, 7, 3, 6, 5, 3, 7]",628064,34.15713501
"[2, 6, 6, 5, 5, 7, 3, 6, 3, 7, 6, 2, 3, 7, 2, 7, 6, 3, 4, 6, 3, 0, 7, 3, 3, 5, 0, 3]",2009760,35.08950424
"[3, 6, 7, 3, 4, 4, 2, 7, 4, 6, 7, 0, 3, 7, 2, 7, 6, 3, 7, 7, 3, 0, 5, 3, 3, 6, 3, 7]",4095648,34.40084076
"[3, 6, 7, 3, 5, 7, 3, 6, 3, 7, 7, 0, 0, 7, 2, 7, 6, 3, 7, 6, 3, 0, 5, 3, 3, 5, 4, 7]",6015648,34.17110443
"[3, 3, 7, 7, 0, 6, 3, 5, 7, 7, 6, 7, 7, 5, 3, 1, 6, 7, 1, 6, 7, 3, 5, 3, 1, 5, 3, 7]",8223712,32.85315704
"[5, 7, 7, 7, 7, 6, 2, 1, 6, 7, 6, 7, 2, 6, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 7, 1, 4]",614336,32.76511002
"[5, 7, 7, 7, 4, 6, 3, 2, 6, 7, 7, 7, 2, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 4, 1, 4]",422432,35.39048004
"[5, 7, 7, 7, 7, 6, 3, 7, 6, 7, 7, 7, 5, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 7, 1, 4]",310976,35.42034149
"[5, 7, 6, 1, 7, 5, 2, 2, 6, 7, 7, 7, 7, 7, 3, 1, 7, 7, 1, 7, 7, 3, 5, 3, 0, 4, 2, 5]",216448,35.35205841
"[4, 4, 6, 1, 7, 5, 2, 5, 6, 7, 7, 7, 7, 6, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 6, 2, 4]",156880,34.61805344
"[4, 7, 7, 0, 0, 6, 3, 2, 6, 7, 7, 7, 5, 7, 3, 0, 7, 7, 1, 6, 7, 3, 2, 0, 0, 7, 2, 4]",104112,34.92229462
"[5, 7, 7, 7, 7, 6, 3, 7, 6, 7, 7, 7, 5, 7, 3, 0, 7, 7, 1, 6, 6, 5, 5, 0, 1, 7, 2, 4]",64352,35.01502228
"[4, 7, 6, 1, 7, 5, 4, 7, 6, 7, 7, 7, 5, 7, 3, 0, 7, 7, 1, 7, 3, 5, 1, 4, 4, 7, 2, 5]",2544,33.60856247
"[5, 7, 7, 7, 7, 6, 3, 5, 7, 7, 6, 7, 7, 6, 3, 0, 7, 7, 1, 7, 7, 3, 5, 3, 0, 5, 2, 4]",838976,34.5618248
"[4, 3, 7, 7, 0, 6, 3, 5, 7, 7, 6, 7, 0, 6, 2, 0, 7, 7, 1, 6, 6, 5, 5, 0, 1, 7, 2, 4]",221248,33.94236755
"[4, 7, 6, 1, 7, 5, 4, 7, 6, 7, 7, 7, 5, 7, 3, 1, 7, 7, 1, 7, 7, 3, 5, 3, 0, 4, 2, 5]",30896,33.43697357
"[5, 7, 7, 7, 7, 6, 2, 1, 6, 7, 7, 7, 7, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 4, 1, 4]",414880,34.90836334
"[4, 7, 6, 1, 7, 2, 2, 5, 6, 7, 7, 7, 7, 6, 3, 0, 7, 7, 1, 7, 7, 3, 5, 3, 0, 6, 2, 4]",105264,34.73513794
"[5, 7, 7, 7, 7, 6, 3, 5, 7, 7, 6, 7, 5, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 7, 1, 4]",834176,33.94623566
"[5, 7, 7, 7, 4, 6, 3, 2, 6, 7, 7, 7, 2, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 4, 1, 5]",423808,34.83121872
"[5, 7, 7, 7, 7, 6, 2, 1, 6, 7, 7, 7, 7, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 7, 1, 4]",413504,35.31182861
"[2, 7, 7, 7, 7, 6, 2, 1, 6, 7, 6, 7, 2, 7, 3, 0, 7, 7, 1, 6, 7, 3, 5, 3, 0, 4, 1, 5]",1268832,34.94997787
"[5, 7, 7, 7, 7, 6, 3, 5, 6, 7, 7, 7, 7, 7, 3, 0, 7, 7, 1, 7, 7, 3, 5, 3, 0, 7, 1, 4]",330176,33.40668869
"[4, 7, 3, 2, 7, 0, 4, 7, 1, 2, 7, 3, 3, 7, 1, 0, 7, 7, 1, 7, 2, 6, 7, 1, 2, 7, 2, 0]",2272,33.66044998
"[6, 7, 2, 3, 7, 0, 4, 7, 1, 2, 7, 3, 3, 7, 2, 0, 7, 7, 1, 7, 2, 6, 7, 1, 2, 7, 3, 7]",6624,33.98416519
"[4, 7, 3, 2, 7, 0, 4, 7, 1, 2, 7, 3, 3, 7, 1, 0, 7, 7, 1, 7, 2, 6, 6, 1, 1, 7, 2, 0]",6912,34.19293976
"[4, 7, 0, 1, 7, 0, 4, 7, 1, 2, 7, 3, 3, 6, 2, 0, 7, 7, 1, 7, 2, 6, 6, 1, 1, 7, 3, 1]",13328,34.59321594
"[4, 7, 3, 2, 7, 0, 4, 7, 1, 2, 7, 3, 3, 7, 2, 3, 6, 7, 1, 7, 2, 6, 6, 1, 0, 7, 2, 0]",29712,34.49666214
