Net,train_psnr,valid_psnr
"[2, 3, 1, 7, 1, 0, 1, 6, 5, 2, 6, 6, 1, 3, 2, 3, 6, 4, 5, 0, 3, 6, 4, 6, 0, 4, 1, 0]",34.68804932,33.73525238
"[5, 2, 6, 2, 4, 5, 5, 2, 7, 1, 2, 4, 0, 3, 0, 4, 0, 5, 0, 1, 0, 4, 7, 2, 3, 7, 1, 6]",35.03826141,34.46048737
"[7, 0, 2, 7, 4, 4, 3, 3, 6, 7, 4, 7, 6, 6, 3, 7, 6, 1, 0, 2, 7, 0, 6, 2, 4, 1, 5, 3]",33.3980217,32.98800659
"[7, 5, 5, 6, 5, 5, 7, 3, 7, 1, 7, 1, 3, 6, 3, 5, 0, 6, 1, 7, 1, 7, 7, 1, 7, 6, 0, 7]",35.30941772,34.42107391
"[7, 1, 6, 4, 7, 7, 7, 5, 0, 4, 0, 4, 1, 4, 6, 0, 3, 3, 1, 6, 7, 5, 4, 4, 4, 6, 5, 1]",35.42433167,34.6372757
"[1, 0, 5, 5, 1, 4, 4, 4, 3, 3, 2, 1, 0, 7, 5, 4, 1, 6, 2, 7, 1, 6, 2, 3, 1, 3, 5, 2]",33.57285309,30.84745216
"[0, 0, 7, 2, 5, 3, 3, 0, 1, 2, 2, 3, 1, 7, 0, 3, 1, 0, 7, 5, 6, 6, 5, 2, 5, 0, 5, 4]",32.34274673,32.16172028
"[0, 3, 1, 6, 7, 6, 5, 4, 4, 2, 1, 7, 3, 7, 2, 1, 7, 7, 5, 3, 7, 6, 0, 2, 1, 2, 0, 4]",33.32951355,32.9378891
"[7, 0, 0, 6, 7, 1, 6, 0, 1, 7, 5, 4, 0, 3, 5, 2, 2, 3, 5, 2, 0, 3, 4, 7, 7, 7, 3, 1]",34.51268005,32.1678772
"[7, 4, 0, 4, 6, 1, 5, 3, 5, 1, 1, 6, 4, 1, 7, 4, 6, 2, 7, 0, 2, 5, 5, 7, 6, 0, 1, 0]",inf,34.64050293
"[1, 3, 4, 7, 6, 5, 2, 2, 7, 1, 6, 1, 7, 2, 6, 6, 5, 7, 7, 4, 0, 0, 3, 4, 0, 7, 4, 1]",35.42012787,34.24782181
"[7, 5, 1, 6, 5, 2, 5, 0, 2, 0, 2, 0, 0, 5, 1, 1, 5, 6, 2, 0, 0, 6, 3, 6, 3, 2, 3, 2]",28.41226768,28.64516449
"[2, 3, 4, 6, 5, 2, 7, 0, 6, 3, 2, 4, 6, 4, 6, 2, 3, 5, 7, 5, 6, 7, 1, 5, 1, 5, 5, 1]",29.18842506,24.86790085
"[0, 1, 3, 6, 6, 7, 7, 4, 4, 1, 5, 1, 6, 2, 2, 1, 6, 6, 0, 3, 6, 3, 1, 4, 4, 3, 6, 2]",32.76914597,31.74562645
"[2, 4, 6, 1, 6, 6, 6, 2, 4, 4, 7, 7, 7, 1, 2, 1, 3, 7, 2, 6, 6, 6, 3, 3, 1, 6, 7, 5]",34.10272217,33.76786041
"[5, 3, 0, 2, 0, 0, 0, 3, 1, 7, 4, 4, 1, 6, 0, 3, 7, 3, 2, 0, 0, 3, 3, 0, 3, 2, 5, 0]",34.27728271,34.00246811
"[1, 5, 5, 6, 3, 6, 1, 6, 4, 7, 1, 6, 3, 1, 7, 2, 7, 4, 4, 6, 7, 3, 6, 4, 1, 7, 5, 4]",inf,33.38217545
"[0, 5, 2, 2, 4, 5, 2, 7, 2, 3, 1, 3, 3, 6, 4, 3, 7, 1, 6, 2, 1, 3, 1, 3, 7, 3, 2, 5]",29.35526848,23.34523773
"[2, 7, 3, 5, 3, 0, 4, 7, 1, 2, 6, 0, 3, 0, 3, 7, 0, 7, 2, 3, 0, 2, 0, 6, 4, 7, 7, 3]",35.47828293,34.28094864
"[3, 4, 2, 2, 6, 6, 4, 2, 0, 7, 1, 2, 3, 2, 1, 1, 0, 0, 3, 7, 6, 4, 0, 6, 2, 6, 5, 1]",34.2871666,33.7381134
"[2, 7, 5, 7, 2, 1, 7, 7, 7, 1, 3, 4, 4, 4, 4, 4, 3, 3, 3, 0, 3, 4, 4, 3, 1, 7, 1, 3]",34.44665909,32.53958893
"[1, 2, 1, 1, 5, 5, 1, 5, 2, 7, 4, 4, 2, 2, 0, 4, 2, 4, 6, 7, 1, 3, 2, 7, 1, 5, 1, 0]",33.95166397,33.77095795
"[6, 6, 2, 5, 4, 2, 7, 0, 0, 7, 1, 3, 5, 2, 5, 1, 0, 0, 5, 0, 3, 1, 6, 5, 1, 0, 7, 2]",34.64082336,34.40023041
"[0, 6, 1, 5, 7, 2, 6, 7, 3, 4, 1, 4, 6, 6, 2, 4, 0, 3, 3, 0, 0, 4, 2, 3, 2, 2, 5, 7]",35.00828171,33.93538666
